Subject,Group,Block,Trial,Emotion,SameDiff,Gender,ACC,RT
11,1,6,11,neg,diff,female,1,1490
11,1,6,12,neu,diff,female,1,1043
11,1,6,13,neu,diff,female,1,1101
11,1,6,14,neu,same,female,1,801
11,1,6,15,neg,diff,female,1,714
11,1,6,16,pos,diff,female,1,1152
11,1,6,17,neg,same,female,1,399
11,1,6,18,neg,diff,female,1,968
11,1,6,19,pos,diff,female,1,786
11,1,6,20,pos,diff,female,1,728
11,1,6,21,pos,same,female,1,593
11,1,6,22,pos,same,female,1,592
11,1,6,23,pos,same,female,1,463
11,1,6,24,neg,diff,female,1,578
11,1,6,25,pos,same,female,1,430
11,1,6,26,neg,same,female,1,397
11,1,6,27,pos,same,female,1,835
11,1,6,28,pos,diff,female,0,962
11,1,6,29,neu,diff,female,1,507
11,1,6,30,pos,same,female,1,1034
11,1,6,31,neu,same,female,1,720
11,1,6,32,neu,diff,female,0,NA
11,1,6,33,neu,same,female,0,NA
11,1,6,34,neg,diff,female,0,870
11,1,6,35,pos,diff,female,0,NA
11,1,6,36,pos,diff,female,0,NA
11,1,6,37,neg,diff,female,1,569
11,1,6,38,pos,same,female,1,1074
11,1,6,39,neu,diff,female,1,689
11,1,6,40,pos,same,female,1,962
11,1,6,41,pos,diff,female,1,844
11,1,6,42,pos,same,female,1,717
11,1,6,43,neg,diff,female,1,660
11,1,6,44,neg,diff,female,1,688
11,1,6,45,neu,diff,female,1,769
11,1,6,46,neu,diff,female,1,946
11,1,6,47,neu,same,female,1,537
11,1,6,48,pos,diff,female,1,573
11,1,6,49,pos,diff,female,1,632
11,1,6,50,pos,same,female,1,415
11,1,6,51,neg,diff,female,1,587
11,1,6,52,neu,diff,female,1,969
11,1,6,53,neg,same,female,1,435
11,1,6,54,neu,same,female,1,513
11,1,6,55,neg,same,female,1,704
12,1,1,1,neg,same,female,0,827
12,1,1,2,neg,same,female,0,NA
12,1,1,3,neg,same,female,0,NA
12,1,1,4,pos,diff,female,1,1258
12,1,1,5,neu,diff,female,1,639
12,1,1,6,neg,diff,female,1,920
12,1,1,7,pos,diff,female,1,937
12,1,1,8,pos,diff,female,1,557
12,1,1,9,neg,diff,female,1,644
12,1,1,10,neu,diff,female,1,765
12,1,1,11,pos,diff,female,0,558
12,1,1,12,neu,same,female,1,567
12,1,1,13,neg,diff,female,1,480
12,1,1,14,neg,diff,female,0,1082
12,1,1,15,neg,same,female,0,1147
12,1,1,16,neg,same,female,1,874
12,1,1,17,neg,same,female,1,640
12,1,1,18,pos,diff,female,0,NA
12,1,1,19,neg,same,female,0,NA
12,1,1,20,neg,diff,female,1,984
12,1,1,21,neu,diff,female,1,900
12,1,1,22,neu,diff,female,0,NA
12,1,1,23,neu,same,female,0,1207
12,1,1,24,neg,diff,female,0,NA
12,1,1,25,neg,diff,female,0,NA
12,1,1,26,pos,diff,female,0,NA
12,1,1,27,pos,diff,female,1,1065
12,1,1,28,neg,diff,female,1,775
12,1,1,29,neu,diff,female,1,699
12,1,1,30,neu,diff,female,1,559
12,1,1,31,neu,same,female,1,504
12,1,1,32,neu,same,female,1,503
12,1,1,33,neg,diff,female,1,835
12,1,1,34,neu,same,female,1,561
12,1,1,35,neg,same,female,0,NA
12,1,1,36,neu,same,female,0,NA
12,1,1,37,pos,diff,female,1,1404
12,1,1,38,neu,same,female,1,1197
